iter	RMSE
163	4004.776112
164	3991.950883
165	3982.02345
166	3973.755635
167	3967.3699
168	3959.299482
169	3945.382941
170	3935.083182
171	3933.568796
172	3932.896919
173	3911.820278
174	3902.950112
175	3892.99298
176	3882.680273
177	3874.921813
178	3868.577714
179	3863.335327
180	3857.012295
181	3849.905859
182	3833.873918
183	3825.460796
184	3811.899047
185	3805.362666
186	3799.878471
187	3789.21147
188	3785.082337
189	3775.214804
190	3764.757851
191	3750.630233
192	3748.177186
193	3737.428759
194	3728.842705
195	3724.553893
196	3721.329231
197	3712.513469
198	3712.037207
199	3706.485501
200	3702.893382
201	3701.106957
202	3696.683636
203	3691.381447
204	3690.642903
205	3680.096047
206	3665.720478
207	3662.908075
208	3659.265976
209	3658.986246
210	3648.562517
211	3641.498589
212	3634.972497
213	3634.175092
214	3630.932594
215	3621.855209
216	3616.183515
217	3607.623977
218	3597.511501
219	3589.05931
220	3585.086751
221	3575.417839
222	3569.447982
223	3561.037347
224	3556.618649
225	3549.981905
226	3545.098724
227	3537.129005
228	3531.143696
229	3526.949137
230	3525.545498
231	3519.580234
232	3514.620391
233	3513.23124
234	3506.451519
235	3500.239607
236	3485.289998
237	3477.270003
238	3475.472947
239	3474.869366
240	3467.015523
241	3456.321398
242	3442.531385
243	3434.745806
244	3427.000505
245	3422.133945
246	3420.449955
247	3411.081738
248	3406.707631
249	3401.860549
250	3394.377666
251	3386.001665
252	3376.419626
253	3370.774532
254	3363.947531
255	3357.372893
256	3351.330788
257	3344.874098
258	3338.4997
259	3322.906558
260	3314.824768
261	3304.576997
262	3300.147535
263	3292.345566
264	3287.540198
265	3281.474042
266	3274.926786
267	3268.819518
268	3261.849569
269	3258.793197
270	3258.346245
271	3249.07692
272	3240.526004
273	3226.809633
274	3216.174947
275	3209.532383
276	3205.969747
277	3197.370174
278	3188.998509
279	3182.596135
280	3176.20594
281	3162.485409
282	3158.463483
283	3154.321705
284	3153.928783
285	3143.494843
286	3137.269034
287	3131.836006
288	3125.854332
289	3118.267482
290	3112.046527
291	3101.247173
292	3093.248699
293	3088.258245
294	3083.812019
295	3077.419092
296	3071.591912
297	3066.309464
298	3058.851525
299	3053.386299
300	3048.413632
301	3043.262562
302	3038.989613
303	3036.461287
304	3031.902892
305	3024.725953
306	3015.367001
307	3006.177093
308	2999.878201
309	2992.756473
310	2986.84832
311	2982.614544
312	2978.302103
313	2968.008223
314	2963.81653
315	2959.319786
316	2952.143373
317	2945.930785
318	2940.261191
319	2934.92457
320	2930.559429
321	2924.963499
322	2921.79232
323	2916.782785
324	2914.54253
325	2913.393943
326	2901.727809
327	2897.589857
328	2893.134349
329	2889.314826
330	2880.544499
331	2875.994968
332	2872.517523
333	2868.347397
334	2864.407869
335	2853.895623
336	2849.734335
337	2845.49815
338	2839.325235
339	2835.394701
340	2830.581132
341	2826.522666
342	2819.372712
343	2817.078301
344	2814.366256
345	2811.345835
346	2801.844408
347	2797.901599
348	2793.368581
349	2782.894391
350	2778.744817
351	2776.460879
352	2766.628949
353	2758.881303
354	2755.016113
355	2745.732716
356	2739.821537
357	2735.886566
358	2731.301197
359	2727.828874
360	2723.581896
361	2720.133166
362	2717.630158
363	2705.766573
364	2697.789045
365	2694.473427
366	2688.923223
367	2682.831257
368	2680.244301
369	2676.843048
370	2668.408705
371	2661.436205
372	2654.12817
373	2646.69773
374	2642.038878
375	2639.893117
376	2635.568902
377	2628.725072
378	2621.21294
379	2616.601269
380	2614.17687
381	2610.58364
382	2603.506003
383	2598.117244
384	2590.058844
385	2584.77179
386	2579.559023
387	2577.287673
388	2573.503443
389	2568.49952
390	2562.48819
391	2560.831926
392	2557.504113
393	2554.389749
394	2550.413532
395	2549.566483
396	2546.12375
397	2538.821757
398	2531.752184
399	2527.054301
400	2522.871948
401	2516.575948
402	2511.128207
403	2506.449906
404	2499.040112
405	2494.795901
406	2491.558801
407	2488.090752
408	2486.917608
409	2482.336953
410	2480.429263
411	2474.35763
412	2471.451876
413	2464.674389
414	2461.247253
415	2456.752479
416	2451.546991
417	2448.994949
418	2446.206672
419	2443.790272
420	2440.793393
421	2437.056823
422	2431.807294
423	2431.051429
424	2427.032722
425	2425.075912
426	2420.796014
427	2417.482795
428	2410.853312
429	2407.535468
430	2404.292885
431	2402.147667
432	2398.512356
433	2393.792828
434	2391.953573
435	2388.971015
436	2385.484555
437	2383.413336
438	2379.809291
439	2377.522327
440	2375.753082
441	2370.713717
442	2367.199794
443	2364.804332
444	2360.896112
445	2357.65657
446	2356.628737
447	2355.333307
448	2353.6455
449	2350.210853
450	2348.112582
451	2343.098201
452	2338.515519
453	2333.668564
454	2330.340317
455	2326.978169
456	2321.539102
457	2317.764115
458	2315.466766
459	2312.400557
460	2307.812528
461	2303.871539
462	2301.309582
463	2297.152651
464	2293.071774
465	2290.01223
466	2285.818244
467	2281.2921
468	2279.655754
469	2275.231457
470	2270.115053
471	2266.287079
472	2262.002857
473	2259.245179
474	2256.303905
475	2251.301115
476	2249.485146
477	2247.170274
478	2244.394272
479	2238.617523
480	2236.482628
481	2231.788675
482	2229.525741
483	2225.285492
484	2222.165608
485	2220.010227
486	2215.949182
487	2214.317487
488	2209.447738
489	2208.337083
490	2207.160617
491	2205.020523
492	2202.548541
493	2197.36106
494	2195.314037
495	2191.837671
496	2187.13047
497	2182.925756
498	2179.137306
499	2175.241984
500	2174.014297
501	2172.526577
502	2170.629525
503	2167.811445
504	2165.002668
505	2161.348098
506	2158.256849
507	2156.756389
508	2152.815928
509	2149.692272
510	2146.859855
511	2144.721347
512	2142.46593
513	2139.325923
514	2137.928544
515	2135.232854
516	2132.634251
517	2129.949079
518	2128.480983
519	2124.815753
520	2122.607334
521	2120.603244
522	2117.026313
523	2113.601542
524	2109.283813
525	2108.211371
526	2106.143418
527	2103.629656
528	2099.789978
529	2095.66927
530	2093.635783
531	2088.656323
532	2087.263463
533	2083.91346
534	2081.343471
535	2078.939316
536	2076.199455
537	2074.158364
538	2070.394351
539	2069.025939
540	2066.558582
541	2062.965248
542	2058.427098
543	2056.798511
544	2054.764244
545	2052.826517
546	2048.844527
547	2046.757905
548	2044.725803
549	2042.594531
550	2041.643777
551	2039.55299
552	2036.016965
553	2034.292469
554	2031.256746
555	2025.827554
556	2022.154007
557	2019.600959
558	2016.920693
559	2013.864086
560	2012.775903
561	2011.071997
562	2009.070615
563	2005.809013
564	2002.879058
565	2001.10369
566	1998.117058
567	1994.595217
568	1993.227283
569	1991.127993
570	1989.213429
571	1984.786932
572	1979.438245
573	1976.841414
574	1975.322587
575	1973.981461
576	1970.759117
577	1965.717024
578	1963.714579
579	1961.58179
580	1958.936952
581	1957.396569
582	1956.535654
583	1954.736511
584	1951.719025
585	1949.556836
586	1946.649698
587	1942.305836
588	1938.651624
589	1936.108892
590	1932.967915
591	1929.342366
592	1926.0943
593	1921.636574
594	1920.586583
595	1918.608497
596	1918.107218
597	1916.340212
598	1913.311446
599	1910.552201
600	1908.323372
601	1906.851414
602	1905.461744
603	1902.744611
604	1900.629176
605	1899.490208
606	1898.10484
607	1895.579352
608	1893.784089
609	1892.011491
610	1890.222962
611	1887.696445
612	1886.488136
613	1884.853959
614	1882.855975
615	1881.10509
616	1878.783627
617	1876.964431
618	1873.698974
619	1871.449173
620	1870.186301
621	1868.650786
622	1866.138891
623	1864.007932
624	1861.487138
625	1860.310886
626	1858.613179
627	1854.971302
628	1853.614142
629	1851.53137
630	1849.151768
631	1846.225205
632	1844.339015
633	1842.812782
634	1840.947349
635	1839.196153
636	1838.506585
637	1837.611113
638	1835.107737
639	1833.986666
640	1832.152894
641	1828.662274
642	1826.862687
643	1824.541755
644	1823.132196
645	1822.46594
646	1819.172983
647	1818.168026
648	1815.026622
649	1813.227453
650	1812.03356
651	1811.019663
652	1808.037674
653	1805.48933
654	1802.248046
655	1801.171117
656	1797.847489
657	1796.543662
658	1794.814282
659	1793.025305
660	1790.891986
661	1789.78945
662	1786.310792
663	1784.972868
664	1783.632674
665	1781.959121
666	1779.453063
667	1776.926688
668	1774.184172
669	1773.270896
670	1769.276768
671	1767.494121
672	1765.898443
673	1764.322349
674	1762.301667
675	1761.197769
676	1758.874451
677	1757.315755
678	1755.441961
679	1754.585196
680	1753.309795
681	1752.878158
682	1750.873353
683	1750.066342
684	1748.034756
685	1747.194004
686	1744.118181
687	1741.323263
688	1739.060194
689	1737.149695
690	1736.346433
691	1734.798364
692	1732.017722
693	1730.726816
694	1729.480902
695	1726.208807
696	1723.518591
697	1721.812764
698	1720.582347
699	1720.222795
700	1718.722498
701	1717.85821
702	1716.437585
703	1714.086768
704	1712.133467
705	1711.20897
706	1709.307029
707	1707.693983
708	1706.455499
709	1706.094265
710	1703.915836
711	1703.636333
712	1701.87404
713	1700.385364
714	1697.594295
715	1695.485682
716	1694.369351
717	1692.215569
718	1690.250945
719	1687.586901
720	1684.973411
721	1683.622134
722	1682.413746
723	1679.492297
724	1678.905961
725	1678.182644
726	1677.468642
727	1676.126443
728	1675.25663
729	1674.654778
730	1673.711541
731	1673.222082
732	1672.919413
733	1672.023711
734	1670.446509
735	1667.785366
736	1667.045107
737	1665.671392
738	1663.892176
739	1662.846626
740	1661.023297
741	1660.222011
742	1657.86193
743	1657.504515
744	1655.584149
745	1654.939124
746	1652.443751
747	1651.164718
748	1650.829479
749	1648.742962
750	1646.850446
751	1644.439343
752	1643.539341
753	1642.788094
754	1640.608799
755	1639.302686
756	1636.63451
757	1635.235443
758	1633.722157
759	1631.010107
760	1629.647059
761	1627.628726
762	1626.450376
763	1625.372474
764	1624.126338
765	1622.224732
766	1620.49477
767	1618.320245
768	1615.340417
769	1615.013748
770	1614.332814
771	1611.589156
772	1608.499136
773	1608.313576
774	1607.08921
775	1605.060827
776	1604.500075
777	1604.255679
778	1603.752605
779	1603.309714
780	1602.370831
781	1601.634076
782	1601.04153
783	1599.202158
784	1596.327529
785	1594.498095
786	1593.012468
787	1590.65094
788	1589.539483
789	1586.562323
790	1585.021588
791	1583.561897
792	1582.350163
793	1581.428108
794	1580.232863
795	1579.305672
796	1577.031785
797	1574.883343
798	1573.018216
799	1570.692689
800	1568.686057
801	1567.893565
802	1567.439079
803	1565.788931
804	1565.66152
805	1563.90684
806	1563.509453
807	1561.178853
808	1559.111964
809	1557.294282
810	1556.191342
811	1555.148702
812	1551.700912
813	1551.318051
814	1549.311447
815	1546.933148
816	1545.343544
817	1544.62878
818	1543.351108
819	1542.859134
820	1541.687901
821	1541.035329
822	1538.422676
823	1536.942987
824	1536.740868
825	1536.075057
826	1534.72804
827	1534.503344
828	1533.500209
829	1533.137643
830	1531.069513
831	1528.664994
832	1526.216627
833	1524.15778
834	1523.087105
835	1521.658523
836	1520.509648
837	1520.165186
838	1518.740527
839	1517.518879
840	1516.282579
841	1515.07629
842	1512.723411
843	1511.629089
844	1510.254772
845	1508.247884
846	1506.230943
847	1503.769367
848	1503.137333
849	1501.799649
850	1499.476971
851	1498.452913
852	1496.987633
853	1494.549304
854	1493.091713
855	1491.466514
856	1490.455811
857	1489.05826
858	1488.197582
859	1486.554926
860	1486.161737
861	1485.481575
862	1483.584621
863	1482.05582
864	1480.916777
865	1479.792992
866	1479.373337
867	1477.613159
868	1476.494859
869	1475.561236
870	1474.709682
871	1471.446207
872	1470.011126
873	1468.926923
874	1468.011231
875	1466.355979
876	1464.006994
877	1462.064098
878	1460.58015
879	1457.7712
880	1456.375417
881	1455.352782
882	1454.553524
883	1454.301157
884	1453.108909
885	1451.242163
886	1450.370228
887	1450.05539
888	1449.455843
889	1448.092976
890	1446.447515
891	1445.86536
892	1444.568566
893	1441.676489
894	1440.750424
895	1438.316914
896	1435.951613
897	1435.648148
898	1432.907553
899	1430.933707
900	1429.394523
901	1428.317051
902	1425.585567
903	1423.710006
904	1422.348784
905	1421.240097
906	1419.818831
907	1417.349315
908	1415.653681
909	1414.63578
910	1413.69277
911	1412.6121
912	1410.221345
913	1409.873486
914	1408.352043
915	1408.255073
916	1407.454379
917	1406.37042
918	1405.909848
919	1404.602824
920	1403.139143
921	1402.082814
922	1401.546949
923	1400.241947
924	1399.230564
925	1398.970726
926	1397.666071
927	1396.85694
928	1396.323106
929	1395.234126
930	1394.339445
931	1392.896065
932	1391.445514
933	1390.84866
934	1389.949602
935	1388.577979
936	1387.729883
937	1385.058205
938	1383.973456
939	1382.76541
940	1382.287559
941	1381.468183
942	1379.466907
943	1377.169943
944	1376.926927
945	1375.392637
946	1373.966601
947	1373.312075
948	1372.170012
949	1372.006666
950	1370.900303
951	1368.786042
952	1368.425152
953	1367.831177
954	1367.262906
955	1366.945825
956	1366.747739
957	1365.206212
958	1364.094602
959	1362.840791
960	1360.913635
961	1359.973024
962	1359.029713
963	1356.101466
964	1355.181896
965	1354.907534
966	1354.517905
967	1353.245715
968	1352.784976
969	1352.521605
970	1352.08244
971	1349.964549
972	1347.924207
973	1347.828926
974	1347.208876
975	1345.60562
976	1345.379918
977	1343.550261
978	1342.246229
979	1341.374801
980	1339.52678
981	1338.545416
982	1338.061735
983	1337.434957
984	1336.922541
985	1335.486591
986	1334.410091
987	1333.452497
988	1332.063182
989	1331.17236
990	1329.910347
991	1328.790258
992	1327.148835
993	1326.816751
994	1325.551227
995	1324.887683
996	1323.720097
997	1322.039894
998	1321.679003
999	1320.431337
